"中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三)",中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),中国2015年按地区分组的仪器仪表制造业主要经济指标统计(三),地区,工业销售产值(当年价格),工业销售产值(当年价格),资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,资产总计,负债合计,地区,主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,投资收益(损失以-号记),营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"单位:亿元",单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,单位:亿元,地区,,出口交货值,,固定资产合计,固定资产合计,固定资产合计,固定资产合计,流动资产合计,流动资产合计,流动资产合计,流动资产合计,负债合计,地区,主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人)
"地区",主营业务成本,销售费用,管理费用,财务费用,财务费用,财务费用,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,存货,存货,负债合计,全国,16468.48,324.10,1022.95,139.96,67.69,189.68,58.95,1048.84,1106.68,201.97,190.37
"地区",主营业务成本,销售费用,管理费用,,利息收入,利息支出,"投资收益(损失以""""-""""号记)",营业利润,利润总额,亏损企业亏损额,平均用工人数(万人),地区,,出口交货值,,,,固定资产原价,累计折旧,,应收账款,,产成品,负债合计,北京,325.42,6.72,34.26,3.56,1.29,3.98,2.80,35.66,38.42,3.27,3.68
"四川",56.15,3.41,7.01,0.74,0.06,0.53,0.01,5.45,5.89,0.37,1.06,四川,1286.73,48.34,1047.39,263.63,245.22,425.68,180.46,649.39,226.80,149.21,59.24,674.69,云南,34.66,0.54,3.63,0.01,0.04,0.06,2.52,5.90,6.04,,0.19
"贵州",9.84,0.44,1.24,0.21,0.01,0.19,0.01,0.19,0.41,0.15,0.28,贵州,196.45,1.64,162.37,21.96,19.71,25.92,6.21,128.09,23.09,19.11,10.68,115.70,西藏,,,,,,,,,,,
"云南",35.11,0.88,3.77,0.73,0.21,0.57,0.05,-2.62,-2.18,3.03,0.66,云南,114.45,2.65,155.03,23.44,17.29,28.89,11.60,115.31,33.75,28.89,15.36,98.52,陕西,625.19,11.12,47.85,5.99,1.15,6.16,5.03,33.24,36.46,3.09,11.13
"西藏",,,,,,,,,,,,西藏,1.17,,3.32,1.12,0.19,0.23,0.04,1.86,0.27,0.43,0.05,1.40,甘肃,9.55,0.33,1.66,0.23,0.01,0.33,,1.51,1.59,,0.29
"陕西",58.40,4.07,15.46,0.78,0.28,1.12,0.69,10.28,9.19,0.64,2.07,陕西,783.42,37.02,938.24,197.78,188.57999999999998,454.37,265.79,631.80,248.28,116.44,55.20,499.16,青海,1.64,0.08,0.10,,,,,0.02,0.02,,0.01
"甘肃",3.85,0.21,0.98,0.18,0.04,0.21,0.01,0.02,0.11,0.04,0.14,甘肃,123.88,0.33,173.57,21.95,19.899999999999999,32.55,12.65,129.88,62.97,29.71,13.03,126.90,宁夏,0.71,0.03,0.09,0.02,,0.02,,0.11,0.11,,0.02
"青海",2.73,0.11,0.15,,,,,0.02,0.02,,0.05,青海,70.39,,89.21,39.98,37.200000000000003,119.89,82.69,39.33,11.84,5.64,1.49,59.81,新疆,0.72,0.01,0.12,,,,,0.09,0.15,,0.02
"宁夏",7.29,0.39,0.60,0.09,,0.08,-0.03,0.81,0.89,0.05,0.11,宁夏,65.23,,67.14,18.11,16.78,22.16,5.38,42.75,24.71,9.86,5.14,38.48,,,,,,,,,,,,
"新疆",1.19,0.07,0.16,0.02,,0.04,0.03,0.08,0.12,,0.02,新疆,522.15,4.84,1041.49,53.96,53.23,71.44,18.21,659.98,218.72,54.61,9.78,645.64,"买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*"
"买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*","买年鉴到淘宝店铺【统计年鉴空间】[低调内涵有修养1992]；或加QQ[976447038]直接购买！_x000D_
*",,,,,,,,,,,,,,,,,,,,,,,,
